groups,effect,lower,upper
White v. African Americans,0.517216721778044,0.26456121453203,0.769872229024057
White v. Asian Americans,1.28447016990459,0.898433460941478,1.67050687886771
White v. Hispanic Americans,1.75877306495267,1.17454513252489,2.34300099738045
African v. Asian Americans,0.576678316957186,0.390396492577969,0.762960141336402
African v. Hispanic Americans,0.878655136568744,0.649096020599491,1.108214252538
Asian v. Hispanic Americans,0.291260447890198,0.0652684622408377,0.517252433539559
