words
intelligent
smart
highly_intelligent
capable
perfectly_capable
adept
competent
qualified
competence
hardworking
industrious
conscientious
skilled
highly_skilled
skillful
civilized
civility
enlightened
disciplined
discipline
methodical
law_abiding
law_abiding_citizens
law_abiding_citizen
honest
truthful
candid
reliable
dependable
trustworthy
rich
wealthy
richer
powerful
potent
power
educated
highly_educated
informed
respectable
decent
respectability
employed
hired
recruited
