words
unintelligent
ignorant
uninformed
incapable
not_capable
ineffectual
incompetent
inept
incompetence
lazy
shiftless
unmotivated
unskilled
low_wage
unskilled_labor
uncivilized
barbaric
savages
undisciplined
irresponsible
reckless
criminal
crimes
criminals
dishonest
disingenuous
deceitful
unreliable
untrustworthy
not_reliable
poor
impoverished
poorer
powerless
helpless
impotent
uneducated
undereducated
poorly_educated
disreputable
unsavory
seedy
unemployed
jobless
underemployed
