words
democracy
democracies
democratic
equality
equal_rights
equality_opportunity
self_reliant
self_sufficient
self_reliance
patriotic
patriotism
nationalistic
belong
belongs
belonging
resident
residents
longtime_resident
citizen
citizens
citizenry
